day;Umvolkung;Großer Austausch;Bevölkerungsaustausch;CDU;AfD
2018-10-07 00:00:00 +0200;109;0;10;0;14
2018-10-08 00:00:00 +0200;98;0;27;3;3
2018-10-09 00:00:00 +0200;273;1;14;1;5
2018-10-10 00:00:00 +0200;130;0;72;2;24
2018-10-11 00:00:00 +0200;75;1;112;2;18
2018-10-12 00:00:00 +0200;97;0;102;4;10
2018-10-13 00:00:00 +0200;46;0;15;2;19
2018-10-14 00:00:00 +0200;60;0;50;1;17
2018-10-15 00:00:00 +0200;63;0;42;0;38
2018-10-16 00:00:00 +0200;173;0;39;1;30
2018-10-17 00:00:00 +0200;62;0;9;1;4
2018-10-18 00:00:00 +0200;74;0;17;6;8
2018-10-19 00:00:00 +0200;73;1;12;4;100
2018-10-20 00:00:00 +0200;96;1;10;6;95
2018-10-21 00:00:00 +0200;135;1;10;1;36
2018-10-22 00:00:00 +0200;100;1;10;3;31
2018-10-23 00:00:00 +0200;63;2;15;2;7
2018-10-24 00:00:00 +0200;60;2;17;2;29
2018-10-25 00:00:00 +0200;64;0;7;3;13
2018-10-26 00:00:00 +0200;97;0;12;0;17
2018-10-27 00:00:00 +0200;74;0;3;2;23
2018-10-28 00:00:00 +0200;66;0;8;4;27
2018-10-28 23:00:00 +0100;140;0;12;4;13
2018-10-29 23:00:00 +0100;50;1;12;3;6
2018-10-30 23:00:00 +0100;42;1;76;16;66
2018-10-31 23:00:00 +0100;32;4;25;2;21
2018-11-01 23:00:00 +0100;197;7;15;1;106
2018-11-02 23:00:00 +0100;233;14;30;23;147
2018-11-03 23:00:00 +0100;230;6;29;5;57
2018-11-04 23:00:00 +0100;348;0;4;7;279
2018-11-05 23:00:00 +0100;227;0;21;11;161
2018-11-06 23:00:00 +0100;133;1;32;11;78
2018-11-07 23:00:00 +0100;99;0;49;11;27
2018-11-08 23:00:00 +0100;77;1;4;89;16
2018-11-09 23:00:00 +0100;107;0;6;43;14
2018-11-10 23:00:00 +0100;92;3;4;10;49
2018-11-11 23:00:00 +0100;80;1;8;41;30
2018-11-12 23:00:00 +0100;52;0;1;3;19